1,2023-02-02 12:24:16.897148+00,\N,\N,Rocky Linux,Rocky Linux,Rocky Enterprise Software Foundation,1
2,2023-02-04 02:18:15.834469+00,\N,\N,Rocky Linux,Rocky Linux SIG Cloud,Rocky Enterprise Software Foundation,2
